artist_name;track_name;track_id;popularity
Doja Cat;Get Into It (Yuh);0W6I02J9xcqK8MtSeosEXb;90,66
David Bowie;Golden Years - 2016 Remaster;4JRem7xHp2l0kmUvt9zCKu;62,67
Justin Bieber;Peaches (feat. Daniel Caesar & Giveon);4iJyoBOLtHqaGxP12qzhQI;93,68
Ella Fitzgerald;What Are You Doing New Year's Eve?;0mWR3j0VOTZfpZvewBPa3o;1,69
Drake;TSU;4s7QLoImIwmPi9L6dq1nVW;86,7
Iron Maiden;Wasted Years - 2015 Remaster;2V0T2LS0pf2r3EFpOEkZFO;54,71
The Weeknd;Save Your Tears (with Ariana Grande) (Remix);37BZB0z9T8Xu7U3e65qxFy;92,72
Diana Krall;What Are You Doing New Year's Eve?;2xrGlRiFlhRSmZ3UUt8eKt;1,73
Olivia Rodrigo;drivers license;5wANPM4fQCJwkGd4rN57mH;91,74
David Bowie;Five Years - 2012 Remaster;1JIzFhI9Lt5FyslawmHCBi;58,75
Coldplay;My Universe;3FeVmId7tL5YN8B7R3imoM;95,76
Paul Anka;It's The Most Wonderful Time Of The Year;5OCkg7I5QaTXE0PfYxV8Q4;1,77
Lil Nas X;MONTERO (Call Me By Your Name);1SC5rEoYDGUK4NfG82494W;90,78
Sukima Switch;Ah Yeah!! - 2020 Remaster;1EryXVV7xCH10UeVvF3RMB;43,79
Bad Bunny;Yonaguni;2JPLbjOn0wPCngEot2STUS;94,8
Paul Anka;It's The Most Wonderful Time Of The Year;1GpetRfQ47U8iXby8LPnol;1,81
Drake;In The Bible (with Lil Durk & Giveon);61S79KIVA4I9FXbnsylEHT;85,82
Rhys Lewis;This Time Of Year;5RvpOJg44qCZZHYFZO28rF;1,83
Drake;Papi’s Home;6jy9yJfgCsMHdu2Oz4BGKX;85,84
Elvis Costello & The Attractions;"Radio; Radio - 2021 Remaster";0qvo5kciIqZJn1t8jdfqDn;44,85
Polo G;RAPSTAR;43PGPuHIlVOc04jrZVh9L6;85,86
Elvis Costello & The Attractions;The Beat - 2021 Remaster;1bqlDsBlBPxjK0zuFQcSXq;40,87
Meek Mill;Sharing Locations (feat. Lil Baby & Lil Durk);3J4VKkUpLvomXJbn9ZAypO;84,88
Saliva;After Me - 2021 Version;5BJs3aDrKYBRkzrhaVxf89;40,89
Megan Thee Stallion;Thot Shit;5zNW5ARjYhJQJz1AChP33n;85,9
Elvis Costello & The Attractions;This Year's Girl - 2021 Remaster;1fdZTOJXydtRzCwBbHlJco;35,91
Olivia Rodrigo;favorite crime;5JCoSi02qi3jJeHdZXMmR8;88,92
Elvis Costello & The Attractions;(I Don't Want To Go To) Chelsea - 2021 Remaster;7uYyLVNjKY49L8o3AouXZd;39,93
Drake;N 2 Deep;34D6FJysnQioVingDKufuf;84,94
Ledisi;What Are You Doing New Year's Eve?;6YhXtmV3tNFyELfEHxAI0T;1,95
Bruno Mars;Leave The Door Open;7MAibcTli4IisCtbHKrGMh;90,96
Elvis Costello & The Attractions;No Action - 2021 Remaster;2GFakdGflCFgwFrJfZkvzK;31,97
Cochise;Tell Em;7nc7mlSdWYeFom84zZ8Wr8;85,98
DJ CLINGO SLIDE;Rubish;0u7vHkZJtxjSP65kf0yZOA;31,99
Oliver Tree;Life Goes On;0eu4C55hL6x29mmeAjytzC;95
Elvis Costello & The Attractions;Lipstick Vogue - 2021 Remaster;2PiNhvEBruOkFZ4g4IwtXo;31,01
PinkPantheress;Pain;7CIERzyqIwLVKGp00YbHRO;86,02
Saliva;Spyhunter - 2021 Version;646K2dKvCr8Nqy3XaSRHHM;30,03
Drake;Love All (with JAY-Z);4VCbgIdr8ptegWeJpqLVHH;86,04
Elvis Costello & The Attractions;Lip Service - 2021 Remaster;23acMIboTpqnM5kueS7GV8;29,05
Elton John;Cold Heart - PNAU Remix;6zSpb8dQRaw0M1dK8PBwQz;95,06
Cameo Bobo;2021 Is My Year;0lb12AXahSi5OzHmp2zdCd;24,07
Marshmello;Leave Before You Love Me (with Jonas Brothers);4qu63nuBpdn0qHUHuObEj1;90,08
Elvis Costello & The Attractions;Little Triggers - 2021 Remaster;2N8YyefuTvFIbgCiCYoXVU;29,09
Post Malone;Motley Crew;40uMIn2zJLAQhNXghRjBed;87,1
Elvis Costello & The Attractions;You Belong To Me - 2021 Remaster;7LjcmjjxyEumIx8AOBVUij;29,11
Taylor Swift;Wildest Dreams (Taylor's Version);1Ov37jtRQ2YNAe8HzfczkL;89,12
Dianne Reeves;This Time Of Year;37HtUdjYyfUTUGz7bo2DP4;2,13
The Kid LAROI;STAY (with Justin Bieber);5PjdY0CKGZdEuoNab3yDmX;95,14
21 Savage;a lot;2t8yVaLvJ0RenpXUIAC52d;80,15
David Bowie;Five Years - 2012 Remaster;1JIzFhI9Lt5FyslawmHCBi;59,16
Juice WRLD;Lean Wit Me;3oDkdAySo1VQQG0ptV7uwa;79,17
Fleetwood Mac;Sara - Single;3MjvXLXwQKvY6ZRzXHal7D;43,18
Khalid;Better;6zeeWid2sgw4lap2jV61PZ;79,19
Fleetwood Mac;Don't Stop - 2018 Remaster;0JWqhXZWac03JFnt6qafGG;43,2
Post Malone;Better Now;7dt6x5M1jzdTEt8oCbisTK;83,21
Fleetwood Mac;Hold Me - 2018 Remaster;1lnJ3iFyoxzL5jKlYgOMY1;40,22
Kali Uchis;Dead To Me;6LOZws7T3jqZz78unPgFF9;80,23
Foster The People;Pumped Up Kicks;2ED8sc40RVFvgqao2r3Qqn;47,24
Lil Peep;Falling Down - Bonus Track;4jvjzW7Hm0yK4LvvE0Paz9;83,25
Fleetwood Mac;As Long as You Follow - 2018 Remaster;12HlWPk7XLbogenA99DV6c;41,26
Metro Boomin;10 Freaky Girls (with 21 Savage);0AluA5RNsa4Cx6XRhf2hWZ;79,27
Fleetwood Mac;Oh Well (Pt. 1) - Mono;2dyCo0B5PvcbTcSpgZv51m;40,28
Kanye West;Ghost Town;7vgTNTaEz3CsBZ1N4YQalM;79,29
Fleetwood Mac;Hypnotized - 2018 Remaster;07Hx52VDE1d0ioKIrch9MF;37,3
80purppp;Hex;7D7e6hm2LiNd6nLuJF6K9Q;79,31
Fleetwood Mac;You Make Loving Fun - 2018 Remaster;4tQ0tZU5YNQSrwG1ayurdz;38,32
Trippie Redd;Taking A Walk;4mHgYpuGHu99Mw69E83CP2;78,33
Fleetwood Mac;Big Love - 2018 Remaster;3qoOu5YrvXbqyzOtmdneF8;39,34
Joji;worldstar money (interlude);0baNzeUcPQnQSagpe8T0mD;80,35
House Beatz;New Year;2YVgeJ0AQxnX4G1trv44xd;35,36
Marshmello;Happier;2dpaYNEQHiRxtZbfNsse99;84,37
Fleetwood Mac;Say You Love Me - 2018 Remaster;6GVynE5kXVXoOWksSqMp8B;35,38
Key Glock;Gang Shit No Lame Shit;6gbiTbclnHlmSIPfmF2zEc;78,39
WRLD;Wishful Thinking - 2018;79hV9YHayd2RIzpgrxNVd8;34,4
Drake;God's Plan;6DCZcSspjsKoFjzjrWoCdn;84,41
"Earth; Wind & Fire";September;7zUogmz7vHIVvsOSuSynKL;38,42
Trippie Redd;1400 / 999 Freestyle;75lcPkAkUsKWHGBlGM476R;78,43
Fleetwood Mac;Over My Head - 2018 Remaster;0zMxvCIYqGcn6prnLRjfxW;32,44
Kendrick Lamar;All The Stars (with SZA);3GCdLUSnKSMJhs4Tj6CV3s;82,45
Fleetwood Mac;The Green Manalishi (With the Two Prong Crown) - 2018 Remaster;5dPwxUZTCFCI1okot98SEt;34,46
Zedd;The Middle;09IStsImFySgyp0pIQdqAc;83,47
