,metros_cubiertos,dormitorios,antiguedad,ambientes,precio
1253,140.0,3.0,0.0,3.0,245000.0
1254,39.0,1.0,40.0,2.0,85000.0
1255,36.0,1.0,8.0,2.0,109000.0
1256,59.0,3.0,50.0,4.0,105000.0
1257,48.0,1.0,50.0,2.0,100000.0
1258,30.0,1.0,10.0,1.0,79000.0
1259,110.0,3.0,0.0,5.0,225000.0
1260,22.0,0.0,50.0,0.0,83000.0
1261,135.0,3.0,0.0,4.0,400000.0
1262,74.0,3.0,20.0,4.0,250000.0
1263,67.0,3.0,40.0,4.0,145000.0
1264,24.0,0.0,50.0,0.0,43900.0
1265,100.0,2.0,0.0,3.0,115000.0
1266,155.0,3.0,0.0,5.0,360000.0
1267,102.0,2.0,2.0,3.0,210000.0
1268,296.0,4.0,0.0,5.0,498000.0
1269,37.0,1.0,0.0,2.0,45000.0
1270,64.0,2.0,0.0,3.0,142000.0
1271,31.0,1.0,0.0,2.0,73000.0
1272,66.0,3.0,0.0,4.0,139000.0
1273,55.0,2.0,0.0,3.0,108000.0
1274,94.0,2.0,0.0,3.0,199000.0
1275,203.0,2.0,0.0,5.0,215000.0
1276,40.0,1.0,0.0,2.0,98000.0
1277,148.0,3.0,53.0,4.0,259000.0
1278,0.0,1.0,45.0,1.0,42900.0
1279,65.0,2.0,0.0,3.0,159000.0
1280,47.0,1.0,0.0,2.0,95000.0
1281,166.0,4.0,0.0,5.0,219000.0
1282,40.0,1.0,0.0,2.0,120000.0
1283,88.0,2.0,0.0,3.0,135000.0
1284,99.0,3.0,0.0,4.0,265000.0
1285,0.0,0.0,0.0,0.0,56900.0
1286,62.0,2.0,30.0,3.0,36000.0
1287,260.0,5.0,0.0,6.0,430000.0
1288,200.0,4.0,0.0,5.0,385000.0
1289,75.0,2.0,0.0,4.0,150000.0
1290,357.0,3.0,0.0,5.0,860000.0
1291,38.0,0.0,4.0,1.0,84000.0
1292,55.0,0.0,0.0,0.0,85000.0
1293,104.0,3.0,93.0,6.0,259500.0
1294,282.0,4.0,0.0,7.0,550000.0
1295,177.0,4.0,0.0,7.0,245000.0
1296,250.0,4.0,0.0,7.0,430000.0
1297,55.0,1.0,0.0,2.0,93500.0
1298,0.0,2.0,45.0,3.0,119000.0
1299,26.0,0.0,0.0,1.0,64789.0
1300,58.0,2.0,25.0,3.0,90000.0
1301,28.0,0.0,44.0,1.0,59000.0
1302,39.0,0.0,0.0,1.0,85000.0
1303,60.0,1.0,5.0,2.0,145000.0
1304,77.0,2.0,0.0,3.0,255000.0
1305,101.0,3.0,40.0,4.0,238000.0
1306,0.0,0.0,0.0,1.0,28000.0
1307,40.0,0.0,8.0,1.0,69000.0
1308,147.0,3.0,0.0,4.0,230000.0
1309,72.0,2.0,40.0,3.0,157500.0
1310,50.0,1.0,0.0,2.0,155000.0
1311,43.0,1.0,10.0,2.0,138500.0
1312,50.0,0.0,0.0,1.0,130000.0
1313,43.0,1.0,15.0,2.0,119900.0
1314,58.0,1.0,3.0,2.0,115000.0
1315,34.0,0.0,5.0,1.0,86000.0
1316,38.0,1.0,20.0,2.0,70000.0
1317,68.0,2.0,0.0,0.0,272000.0
1318,37.0,1.0,48.0,2.0,58900.0
1319,65.0,2.0,0.0,3.0,48000.0
1320,50.0,2.0,0.0,3.0,98000.0
1321,70.0,2.0,0.0,3.0,188000.0
1322,34.0,1.0,50.0,2.0,68000.0
