Date,price
2021-02-20,55923.7
2021-03-02,48424.2
2021-03-12,57265.1
2021-03-22,54158.3
2021-04-01,58718.3
2021-04-11,59978.7
2021-04-21,53820.2
2021-05-01,57807.1
2021-05-11,56695.7
2021-05-21,37297.4
2021-05-31,37298.6
2021-06-10,36649.4
2021-06-20,35595.8
2021-06-30,35026.9
2021-07-10,33510.6
2021-07-20,29793.8
2021-07-30,42203.4
2021-08-09,46284.3
2021-08-19,46755.9
2021-08-29,48777.4
2021-09-08,46061.4
2021-09-18,48306.7
2021-09-28,41022.3
2021-10-08,53914.7
2021-10-18,62056.3
2021-10-28,60582.5
2021-11-07,63273.2
2021-11-17,60367.8
2021-11-27,54765.9
2021-12-07,50595.2
2021-12-17,46172.2
2021-12-27,50678.2
2022-01-06,43097.5
2022-01-16,43079.1
2022-01-26,36800.4
2022-02-05,41412.1
2022-02-15,44544.4
2022-02-25,39209.6
2022-03-07,38024.8
2022-03-17,40914.8
2022-03-27,46859.0
2022-04-06,43173.0
2022-04-16,40382.0
2022-04-26,38113.0
2022-05-06,36009.0
2022-05-16,29849.0
2022-05-26,29203.5
2022-06-05,29913.0
2022-06-15,22577.9
2022-06-25,21489.9
2022-07-05,20200.6
2022-07-15,20825.1
2022-07-25,21301.9
2022-08-04,22612.1
2022-08-14,24302.8
2022-08-24,21365.2
2022-09-03,19831.4
2022-09-13,20175.5
2022-09-23,19293.5
2022-10-03,19628.3
2022-10-13,19379.8
2022-10-23,19571.2
2022-11-02,20154.4
2022-11-12,16795.2
2022-11-22,16212.9
2022-12-02,17093.6
2022-12-12,17210.4
2022-12-22,16820.6
2023-01-01,16618.4
2023-01-11,17942.3
2023-01-21,22775.7
2023-01-31,23125.1
2023-02-10,21819.0
